prognosis,symptom1,symptom2,symptom3,symptom4,symptom5,symptom6,symptom7,symptom8,symptom9,symptom10,symptom11,symptom12,symptom13,symptom14,Unnamed:15,Unnamed:16,Unnamed:17
Fungalinfection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Fungalinfection,skin_rash,nodal_skin_eruptions,dischromic_patches,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Fungalinfection,itching,nodal_skin_eruptions,dischromic_patches,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Fungalinfection,itching,skin_rash,dischromic_patches,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Fungalinfection,itching,skin_rash,nodal_skin_eruptions,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Fungalinfection,skin_rash,nodal_skin_eruptions,dischromic_patches,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Fungalinfection,itching,nodal_skin_eruptions,dischromic_patches,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Fungalinfection,itching,skin_rash,dischromic_patches,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Fungalinfection,itching,skin_rash,nodal_skin_eruptions,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
Fungalinfection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms,Non_symptoms
